,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,Taree,36,AU,1545080400,83,-31.91,152.46,73.4,3.36
121,Nouadhibou,88,MR,1545080400,32,20.93,-17.03,69.8,6.93
122,Jamestown,24,AU,1545084528,76,-33.21,138.6,67.01,9.66
123,Kitimat,90,CA,1545082560,100,54.02,-128.69,33.8,2.24
124,Hami,0,CN,1545084896,47,42.84,93.51,-2.97,5.41
125,Sao Filipe,88,CV,1545084898,97,14.9,-24.5,73.81,14.7
126,Sinnamary,76,GF,1545084899,100,5.38,-52.96,77.99,7.65
127,Maine-Soroa,0,NE,1545084900,30,13.21,12.02,67.64,9.89
128,Kingaroy,90,AU,1545082200,88,-26.54,151.84,71.6,9.17
129,Corrente,12,BR,1545084903,39,-17.45,-44.68,86.18,5.64
130,New Norfolk,75,AU,1545082200,71,-42.78,147.06,57.2,9.17
131,Twin Falls,90,US,1545083580,57,42.57,-114.46,42.08,3.36
132,Mar del Plata,0,AR,1545084906,25,-46.43,-67.52,75.11,7.54
133,Arraial do Cabo,0,BR,1545080400,65,-22.97,-42.02,80.6,23.04
134,Shitanjing,0,CN,1545084909,59,39.23,106.34,1.31,1.72
135,Salalah,0,OM,1545083400,53,17.01,54.1,77.0,11.41
136,Kodiak,1,US,1545083700,13,39.95,-94.76,53.06,5.82
137,Kavaratti,0,IN,1545084912,100,10.57,72.64,83.66,11.56
138,Thenzawl,76,IN,1545084914,93,23.28,92.78,61.34,1.95
139,San Carlos,20,VE,1545084915,39,9.66,-68.59,91.22,8.77
140,Porto Novo,40,BR,1545084000,74,-23.68,-45.44,80.6,1.83
141,Bang Krathum,92,TH,1545084918,75,16.58,100.3,77.32,4.29
142,Qaanaaq,8,GL,1545084919,81,77.48,-69.36,-13.77,9.1
143,Taltal,0,CL,1545084920,71,-25.41,-70.49,69.22,4.41
144,Norman Wells,40,CA,1545080400,76,65.28,-126.83,-5.81,2.24
145,Lebu,0,ET,1545084923,87,8.96,38.73,41.36,2.73
146,Turukhansk,92,RU,1545084924,84,65.8,87.96,24.76,19.95
147,Qasigiannguit,68,GL,1545083400,72,68.82,-51.19,15.8,8.05
148,Hasaki,40,JP,1545082200,86,35.73,140.83,39.2,5.82
149,Tilichiki,0,RU,1545084927,52,60.47,166.1,-31.18,1.95
150,Koslan,64,RU,1545084928,81,63.46,48.9,13.73,6.2
151,Solnechnyy,32,RU,1545084930,50,50.72,136.64,-17.73,2.39
152,Buin,0,CL,1545084000,34,-33.73,-70.74,82.4,10.29
153,Tasiilaq,92,GL,1545083400,79,65.61,-37.64,28.4,1.12
154,Razdolinsk,80,RU,1545084933,79,58.42,94.62,13.73,8.99
155,Bereznik,12,RU,1545084934,86,62.86,42.71,14.27,5.64
156,Rorvik,20,NO,1545079800,92,64.86,11.24,28.4,5.82
157,Severo-Kurilsk,80,RU,1545084937,100,50.68,156.12,34.16,6.42
158,Nidzica,90,PL,1545082200,92,53.36,20.43,30.2,2.24
159,Port Alfred,68,ZA,1545084499,93,-33.59,26.89,74.89,7.54
160,Bintulu,90,MY,1545080400,100,3.17,113.03,73.4,3.36
161,Soria,0,ES,1545084941,80,41.76,-2.46,25.75,4.07
162,Ancud,0,CL,1545084000,62,-41.87,-73.83,59.0,9.17
163,Flinders,90,AU,1545082200,78,-34.58,150.85,71.6,10.29
164,East London,64,ZA,1545084945,100,-33.02,27.91,75.38,6.64
165,Lobatse,100,BW,1545084000,36,-25.21,25.68,75.2,6.93
166,San Patricio,0,PY,1545084947,56,-26.98,-56.83,91.81,6.08
167,Kysyl-Syr,44,RU,1545084948,74,63.9,122.77,-17.46,4.85
168,Tupik,44,RU,1545084949,50,54.43,119.94,-19.08,5.19
169,Barrow,48,AR,1545084470,36,-38.31,-60.23,64.09,13.47
170,Panama City,1,US,1545083760,75,30.16,-85.65,62.96,10.29
171,Payo,92,ID,1545084953,96,-3.75,103.64,73.09,3.96
172,Chokurdakh,36,RU,1545084954,78,70.62,147.9,-38.16,3.06
173,Priiskovyy,20,RU,1545084955,58,51.93,116.63,-13.59,8.21
174,Vao,92,EE,1545084956,93,59.1,26.19,25.12,7.76
175,Leirvik,88,NO,1545083400,69,59.78,5.5,35.6,11.41
176,Leningradskiy,48,RU,1545084959,93,69.38,178.42,-7.65,20.85
177,Huescar,44,ES,1545084960,93,37.81,-2.54,32.63,2.39
178,Shaoxing,0,CN,1545082200,100,30.0,120.58,35.6,4.47
179,Ambikapur,100,IN,1545084963,98,23.12,83.2,52.12,12.35
180,Tarko-Sale,88,RU,1545084551,89,64.92,77.78,21.79,17.05
181,Kolokani,0,ML,1545084965,39,13.58,-8.03,67.82,6.64
182,Sibu,75,MY,1545084000,100,2.29,111.83,73.4,4.7
183,Yueyang,0,CN,1545084967,89,29.36,113.12,30.97,4.85
184,Cedar City,92,US,1545083580,33,37.68,-113.06,46.04,9.17
185,Gayeri,0,BF,1545084969,34,12.65,0.49,71.65,8.21
186,Maketu,0,NZ,1545084971,83,-37.76,176.45,70.12,3.51
187,Zyryanka,12,RU,1545084972,0,65.73,150.89,-48.64,2.17
188,Cortez,75,US,1545083580,42,37.35,-108.58,42.98,5.53
189,Christchurch,36,NZ,1545080400,49,-43.53,172.64,69.8,9.17
190,Tuatapere,44,NZ,1545084495,76,-46.13,167.69,65.12,16.93
191,Necochea,44,AR,1545084976,58,-38.55,-58.74,60.85,13.69
192,Castro,0,CL,1545084000,62,-42.48,-73.76,59.0,9.17
193,Evensk,20,RU,1545084506,100,61.92,159.24,-1.48,8.66
194,Tomatlan,12,MX,1545084980,58,19.93,-105.25,81.19,3.4
195,Constitucion,75,MX,1545082860,24,23.99,-104.67,68.0,10.29
196,Husavik,32,CA,1545084983,90,50.56,-96.99,15.31,11.12
197,Lasa,40,CY,1545082200,72,34.92,32.53,64.4,10.29
198,Hithadhoo,80,MV,1545084985,100,-0.6,73.08,82.9,12.57
199,Ocampo,92,PH,1545084987,100,13.56,123.37,76.64,14.25
200,Isangel,36,VU,1545084988,100,-19.55,169.27,77.5,11.12
201,Great Yarmouth,80,GB,1545083400,93,52.61,1.73,42.8,8.05
202,Richards Bay,12,ZA,1545084990,60,-28.77,32.06,81.82,11.45
203,Butaritari,76,KI,1545084498,100,3.07,172.79,81.59,18.28
204,Georgetown,75,GY,1545084000,83,6.8,-58.16,82.4,9.17
205,Ankazoabo,8,MG,1545084994,90,-22.29,44.51,68.32,2.95
206,Camacha,40,PT,1545082200,82,33.08,-16.33,64.4,10.29
207,Pandegelang,20,ID,1545084000,83,-6.31,106.11,77.0,6.93
208,Tecoanapa,75,MX,1545082920,70,16.99,-99.26,84.2,6.93
209,Whyalla,80,AU,1545080400,83,-33.04,137.58,71.6,10.29
210,Iralaya,90,HN,1545084000,93,15.0,-83.23,59.0,4.7
211,Klaeng,24,TH,1545085002,96,12.78,101.65,81.1,7.99
212,Pangnirtung,90,CA,1545080400,60,66.15,-65.72,10.4,10.29
213,Lakes Entrance,92,AU,1545085004,96,-37.88,147.99,62.29,5.3
214,Akureyri,92,IS,1545085006,97,65.68,-18.09,32.99,9.66
215,Dzhebariki-Khaya,64,RU,1545085007,80,62.22,135.8,-18.76,2.73
216,Codrington,40,AU,1545080460,73,-28.95,153.24,77.0,1.12
217,Baiyin,0,CN,1545080400,56,36.55,104.13,12.2,6.71
218,Qaqortoq,0,GL,1545084890,97,60.72,-46.03,22.69,6.2
219,Carinhanha,36,BR,1545085011,53,-14.3,-43.77,83.71,5.75
220,Lorengau,56,PG,1545085012,99,-2.02,147.27,84.7,7.76
221,Muzhi,0,RU,1545085013,79,65.4,64.7,17.33,16.26
222,Pevek,48,RU,1545084453,100,69.7,170.27,-24.21,7.99
223,Ambon,90,FR,1545082200,100,47.55,-2.56,51.8,10.29
224,Manono,76,CD,1545085017,99,-7.3,27.4,68.32,5.53
225,Vagur,88,FO,1545085018,96,61.47,-6.81,47.12,37.74
226,Abu Samrah,92,SY,1545085019,98,35.3,37.18,49.06,5.97
227,Ust-Nera,24,RU,1545085020,0,64.57,143.24,-50.08,1.95
228,Krasnyy Kommunar,90,RU,1545084000,85,51.96,55.37,15.8,11.18
229,Saint-Joseph,0,FR,1545082200,68,43.56,6.97,44.6,3.36
230,Beni,20,CD,1545085024,94,0.49,29.47,63.01,2.39
231,Beloha,36,MG,1545085025,73,-25.17,45.06,77.59,10.45
232,San Quintin,0,PH,1545085027,83,17.54,120.52,67.6,5.53
233,Babra,0,IN,1545085028,59,21.84,71.3,59.09,10.67
234,Bathsheba,40,BB,1545084000,78,13.22,-59.52,77.0,14.99
235,Kamiiso,75,JP,1545084000,88,41.82,140.65,32.0,11.41
236,Longyearbyen,20,NO,1545083400,77,78.22,15.63,6.8,4.18
237,Antofagasta,0,CL,1545084000,68,-23.65,-70.4,64.4,10.29
238,Umm Lajj,0,SA,1545085033,100,25.02,37.27,62.87,11.68
239,Tuktoyaktuk,90,CA,1545080400,77,69.44,-133.03,-2.21,4.7
240,Guapiacu,20,BR,1545080400,45,-20.8,-49.22,87.8,6.93
241,Aquiraz,75,BR,1545084000,88,-3.9,-38.39,78.8,5.82
242,Faanui,68,PF,1545085038,100,-16.48,-151.75,82.67,9.22
243,Tiksi,32,RU,1545084457,59,71.64,128.87,-20.74,3.74
244,Poum,92,MK,1545085040,96,41.28,20.71,28.45,2.17
245,Mareeba,0,AU,1545082200,65,-16.99,145.42,82.4,5.82
246,Padang,20,ID,1545082200,94,-0.92,100.36,75.2,8.43
247,Saint Anthony,90,US,1545083760,61,43.97,-111.68,39.92,8.21
248,Noumea,75,NC,1545084000,61,-22.28,166.46,80.6,2.24
249,Gamba,80,CN,1545085046,79,28.28,88.52,5.32,1.61
250,Gat,0,SN,1545082200,73,14.69,-16.54,77.0,13.87
251,Bilma,0,NE,1545085049,45,18.69,12.92,52.3,7.2
252,Waipawa,0,NZ,1545085050,67,-39.94,176.59,68.99,10.45
253,Thompson,75,CA,1545080400,76,55.74,-97.86,-4.01,3.36
254,Khani,75,GE,1545084000,86,41.96,42.96,50.0,28.86
255,San Pedro,56,AR,1545085055,79,-33.68,-59.66,72.55,22.08
256,Artesia,75,US,1545083580,65,32.84,-104.4,55.04,4.74
257,Varnamo,44,SE,1545083400,100,57.19,14.04,28.4,2.62
258,Batagay-Alyta,0,RU,1545085058,0,67.8,130.41,-43.47,3.85
259,Vallenar,88,CL,1545085059,68,-28.58,-70.76,71.51,2.95
260,Veraval,90,FR,1545082200,93,49.65,0.71,48.2,10.29
261,Morristown,1,US,1545083700,53,36.21,-83.29,55.4,6.93
262,Sao Joao da Barra,0,BR,1545084000,69,-21.64,-41.05,78.8,13.87
263,Houma,0,CN,1545084896,75,35.63,111.36,15.22,1.72
264,Vila Velha,75,BR,1545084000,88,-3.71,-38.6,78.8,5.82
265,Anshun,0,CN,1545085066,83,26.25,105.93,36.46,5.3
266,Callaway,1,US,1545083700,69,46.98,-95.91,33.8,10.29
267,Baruun-Urt,0,MN,1545085069,70,46.68,113.28,1.99,11.34
268,Fortuna,0,ES,1545082200,76,38.18,-1.13,48.2,3.36
269,Portland,90,US,1545083580,83,45.52,-122.67,53.96,10.29
270,Cururupu,24,BR,1545085073,74,-1.82,-44.87,81.82,10.67
271,Nicoya,0,CR,1545084000,51,10.15,-85.45,86.0,20.8
272,Saint-Philippe,90,CA,1545083700,93,45.36,-73.48,33.8,8.05
273,Tiarei,20,PF,1545084000,66,-17.53,-149.33,87.8,8.05
274,Doha,0,QA,1545084000,64,25.29,51.53,68.0,2.24
275,Ruteng,8,ID,1545085079,93,-8.61,120.46,69.26,3.62
276,Mahibadhoo,20,MV,1545085080,100,3.78,72.97,82.36,13.02
277,Patacamaya,92,BO,1545085081,96,-17.23,-67.92,48.11,9.66
278,Vrangel,48,RU,1545085082,100,42.73,133.08,30.47,23.2
279,Nome,1,US,1545083700,65,30.04,-94.42,69.62,6.93
280,Iqaluit,90,CA,1545080400,79,63.75,-68.52,21.2,10.29
281,Opuwo,32,NA,1545085086,30,-18.06,13.84,76.73,6.53
282,Sechura,0,PE,1545085087,69,-5.56,-80.82,79.43,13.47
283,Joshimath,0,IN,1545085088,81,30.57,79.57,-5.08,1.39
284,Saint-Michel-des-Saints,80,CA,1545085090,73,46.68,-73.92,26.33,10.45
285,Andalan,0,PH,1545085091,94,5.96,121.39,82.45,12.68
286,Carolina,40,PR,1545083760,62,18.38,-65.96,82.04,5.82
287,Sistranda,75,NO,1545083400,100,63.73,8.83,32.0,6.93
288,Tromso,0,NO,1545083400,85,69.65,18.96,21.2,4.7
289,Marinette,1,US,1545083760,55,45.1,-87.63,32.18,4.7
290,San Carlos de Bariloche,0,AR,1545080400,15,-41.13,-71.31,73.4,19.46
291,Cidreira,76,BR,1545085098,94,-30.17,-50.22,75.47,10.67
292,Omsukchan,0,RU,1545085099,40,62.53,155.8,-28.03,2.62
293,Bawku,0,GH,1545085100,33,11.06,-0.24,74.62,8.99
294,Bom Jesus,32,BR,1545085102,50,-9.08,-44.36,86.5,7.65
295,Taunggyi,8,MM,1545085103,91,20.78,97.03,52.21,2.39
296,Hamilton,75,BM,1545083700,68,32.3,-64.78,69.8,21.92
297,Viedma,0,AR,1545085106,33,-40.81,-62.99,73.9,5.64
298,Kaitangata,100,NZ,1545085107,92,-46.28,169.85,63.14,16.26
299,Genhe,0,CN,1545085108,49,50.78,121.52,-18.99,6.53
300,Rocha,76,UY,1545085109,92,-34.48,-54.34,69.22,12.68
301,Shubarshi,76,KZ,1545085111,74,48.59,57.19,15.67,3.18
302,Crestview,1,US,1545083760,53,30.76,-86.57,64.94,5.97
303,Gornopravdinsk,68,RU,1545085113,88,60.06,69.92,18.86,7.2
304,Zhezkazgan,68,KZ,1545085114,81,47.8,67.71,18.64,14.25
305,Hualmay,12,PE,1545085115,66,-11.1,-77.61,75.25,5.75
306,Kinablangan,88,PH,1545085116,100,7.69,126.55,78.98,11.23
307,Parrita,40,CR,1545084000,57,9.52,-84.33,78.8,11.41
308,San Felipe,0,CL,1545085119,51,-32.75,-70.73,72.1,2.17
309,Minna,0,NG,1545085121,29,9.62,6.55,76.73,12.68
310,Gorontalo,12,ID,1545085031,97,0.54,123.06,73.31,2.17
311,Hot Springs,1,US,1545083580,49,34.5,-93.06,57.92,6.93
312,Lompoc,1,US,1545084000,67,34.64,-120.46,64.94,4.7
313,Margate,75,AU,1545082200,71,-43.03,147.26,57.2,9.17
314,Yima,0,CN,1545085126,67,34.75,111.87,18.37,3.18
315,Sinjar,92,SY,1545085127,98,35.59,37.0,49.06,5.97
316,Yeppoon,75,AU,1545084000,61,-23.13,150.74,82.4,12.75
317,Nikolskoye,90,RU,1545084000,92,59.7,30.79,17.6,4.47
318,Douglas,1,US,1545083760,54,31.34,-109.55,57.02,3.36
319,Tallahassee,1,US,1545082500,51,30.44,-84.28,66.92,5.82
320,Uyuni,48,BO,1545085133,50,-20.46,-66.82,58.87,3.62
321,Touros,88,BR,1545085134,86,-5.2,-35.46,79.66,11.45
322,Khorixas,80,NA,1545085136,46,-20.37,14.96,72.64,5.86
323,Dingle,56,PH,1545085137,92,11.0,122.67,75.74,14.03
324,Dalhousie,20,IN,1545085138,43,32.54,75.98,33.26,2.62
325,Torbay,90,CA,1545080400,86,47.66,-52.73,28.4,14.99
326,Marienburg,75,DE,1545083400,87,52.12,9.98,42.8,5.82
327,Kununurra,40,AU,1545084000,83,-15.77,128.74,84.2,2.24
328,Nishihara,1,JP,1545084000,62,35.74,139.53,46.4,4.7
329,Keti Bandar,0,PK,1545085144,100,24.14,67.45,65.71,18.95
330,Chino Valley,90,US,1545083700,38,34.76,-112.45,53.6,14.99
331,Salgar,40,CO,1545084000,53,5.96,-75.98,77.0,20.8
332,Gari,0,RU,1545085148,91,59.43,62.35,11.17,5.97
333,Pisco,0,PE,1545084000,30,-13.71,-76.2,71.6,24.16
334,Hirara,40,JP,1545084000,59,24.8,125.28,64.4,8.05
335,Inirida,0,CO,1545085151,77,3.87,-67.92,83.03,2.28
336,Laguna,75,MX,1545082860,31,27.52,-110.01,78.8,9.17
337,Zeya,0,RU,1545085153,31,53.74,127.27,-22.77,2.28
338,Quesnel,1,CA,1545080400,75,52.98,-122.49,41.0,3.36
339,Naryan-Mar,88,RU,1545085156,92,67.67,53.09,26.96,27.11
340,Bud,75,NO,1545083400,69,62.91,6.91,35.6,5.82
341,Husum,76,DE,1545081600,93,54.49,9.05,35.6,8.05
342,Mnogovershinnyy,68,RU,1545085159,78,53.94,139.92,1.31,3.74
343,Stuttgart,20,DE,1545083400,93,48.78,9.18,37.4,2.24
344,Erin,75,CA,1545080400,55,43.78,-80.07,37.4,17.22
345,Lerwick,44,GB,1545083400,75,60.15,-1.15,46.4,28.86
346,Coihaique,0,CL,1545084000,41,-45.58,-72.07,60.8,9.17
347,Soe,90,EE,1545083400,92,57.91,26.05,24.8,5.82
348,Ponta Delgada,20,PT,1545082200,82,37.73,-25.67,57.2,10.29
349,Yavatmal,44,IN,1545085097,91,20.39,78.13,57.02,7.2
350,Sur,0,OM,1545085169,100,22.57,59.53,69.62,4.18
351,Hukuntsi,0,BW,1545085170,23,-23.98,21.76,78.49,10.22
352,Lavrentiya,32,RU,1545085171,100,65.58,-170.99,3.61,17.83
353,Liwale,44,TZ,1545085172,95,-9.8,37.92,71.69,3.18
354,Cooma,75,AU,1545084360,82,-36.24,149.13,64.4,8.05
355,Road Town,40,VG,1545084000,69,18.42,-64.62,80.96,6.93
356,Hanzhong,8,CN,1545085176,97,33.08,107.03,23.27,3.96
357,Kungurtug,36,RU,1545085177,61,50.6,97.53,-0.27,3.51
358,Nadvoitsy,64,RU,1545085178,88,63.89,34.27,12.16,6.42
359,Rawson,0,AR,1545085179,22,-43.3,-65.11,79.07,9.78
360,Sabang,92,PH,1545085180,100,13.72,123.58,76.64,14.25
361,Ixtapa,40,MX,1545079500,48,20.71,-105.21,82.4,8.05
362,Santa Cruz,75,US,1545083580,47,36.97,-122.03,62.6,4.7
363,Bethanien,80,NA,1545085185,25,-26.5,17.16,76.06,1.95
364,Goderich,48,CA,1545085186,79,43.74,-81.71,32.63,22.3
365,Arlit,0,NE,1545085187,47,18.74,7.39,56.17,7.87
366,Namatanai,64,PG,1545085188,100,-3.66,152.44,81.86,3.4
367,Santa Fe,90,AR,1545082200,94,-31.62,-60.7,69.8,9.17
368,Broken Hill,0,AU,1545084000,37,-31.97,141.45,82.4,16.11
369,West Point,1,US,1545084900,76,33.61,-88.65,53.6,4.41
370,Kijang,0,KR,1545084000,80,35.24,129.21,30.2,2.24
371,Kodinsk,88,RU,1545085194,73,58.6,99.18,15.44,9.55
372,Suruc,75,TR,1545083400,93,36.98,38.42,41.0,6.93
373,Waitati,64,NZ,1545085197,61,-45.75,170.57,67.82,15.03
